# ADAMAS reference database (part B: quantum). Same format as refs_a.psv:
# key | authors | year | title | venue | locator | tags | status
davies1976 | Davies, G.; Hamer, M. F. | 1976 | Optical studies of the 1.945 eV vibronic band in diamond | Proceedings of the Royal Society A | 348, 285 | nv | V
trifunovic2013 | Trifunovic, L.; Pedrocchi, F. L.; Loss, D. | 2013 | Long-distance entanglement of spin qubits via ferromagnet | Physical Review X | 3, 041023 | qc | V
kubo2010 | Kubo, Y.; Ong, F. R.; Bertet, P.; et al. | 2010 | Strong coupling of a spin ensemble to a superconducting resonator | Physical Review Letters | 105, 140502 | qc | V
zhu2011 | Zhu, X.; Saito, S.; Kemp, A.; et al. | 2011 | Coherent coupling of a superconducting flux qubit to an electron spin ensemble in diamond | Nature | 478, 221 | qc | V
nemoto2014 | Nemoto, K.; Trupke, M.; Devitt, S. J.; et al. | 2014 | Photonic architecture for scalable quantum information processing in diamond | Physical Review X | 4, 031022 | qc,net | V
nickerson2014 | Nickerson, N. H.; Fitzsimons, J. F.; Benjamin, S. C. | 2014 | Freely scalable quantum technologies using cells of 5-to-50 qubits with very lossy and noisy photonic links | Physical Review X | 4, 041041 | qc,net | V
choi2019 | Choi, H.; Pant, M.; Guha, S.; Englund, D. | 2019 | Percolation-based architecture for cluster state creation using photon-mediated entanglement between atomic memories | npj Quantum Information | 5, 104 | qc,net | V
barrett2005 | Barrett, S. D.; Kok, P. | 2005 | Efficient high-fidelity quantum computation using matter qubits and linear optics | Physical Review A | 71, 060310 | qc,net | V
ji2022 | Ji, J.-W.; Wu, Y.-F.; Wein, S. C.; et al. | 2022 | Proposal for room-temperature quantum repeaters with nitrogen-vacancy centers and optomechanics | Quantum | 6, 669 | net,qc | V
qbpawsey2023 | Quantum Brilliance and Pawsey Supercomputing Research Centre collaboration | 2023 | First quantum machine learning applications on an on-site room-temperature quantum computer | arXiv preprint | arXiv:2312.11673 | qc,ind | V
olcf2025 | Oak Ridge Leadership Computing Facility | 2025 | Q&A: Inside Quantum Brilliance's quantum computer technology | OLCF news | 2 September 2025 | ind,qc | V
qbtech2026 | Quantum Brilliance | 2026 | Diamond quantum technology (technology overview page) | quantumbrilliance.com | accessed September 2026 | ind,qc | V
tqi2026 | The Quantum Insider | 2026 | Top diamond NV-centre quantum computing companies in 2026 | The Quantum Insider | 10 July 2026 | ind,qc | V
saxonq2026 | Greene, T. | 2026 | Engineers build world's first portable diamond-powered quantum computer (report on SaxonQ; vendor claims, not yet peer reviewed) | Live Science (news) | 6 August 2026 | ind,qc | V
togan2010 | Togan, E.; Chu, Y.; Trifonov, A. S.; et al. | 2010 | Quantum entanglement between an optical photon and a solid-state spin qubit | Nature | 466, 730 | net | V
bernien2013 | Bernien, H.; Hensen, B.; Pfaff, W.; et al. | 2013 | Heralded entanglement between solid-state qubits separated by three metres | Nature | 497, 86 | net | V
hensen2015 | Hensen, B.; Bernien, H.; Dreau, A. E.; et al. | 2015 | Loophole-free Bell inequality violation using electron spins separated by 1.3 kilometres | Nature | 526, 682 | net | V
kalb2017 | Kalb, N.; Reiserer, A. A.; Humphreys, P. C.; et al. | 2017 | Entanglement distillation between solid-state quantum network nodes | Science | 356, 928 | net | V
humphreys2018 | Humphreys, P. C.; Kalb, N.; Morits, J. P. J.; et al. | 2018 | Deterministic delivery of remote entanglement on a quantum network | Nature | 558, 268 | net | V
pompili2021 | Pompili, M.; Hermans, S. L. N.; Baier, S.; et al. | 2021 | Realization of a multinode quantum network of remote solid-state qubits | Science | 372, 259 | net | V
hermans2022 | Hermans, S. L. N.; Pompili, M.; Beukers, H. K. C.; et al. | 2022 | Qubit teleportation between non-neighbouring nodes in a quantum network | Nature | 605, 663 | net | V
stolk2024 | Stolk, A. J.; van der Enden, K. L.; Slater, M.-C.; et al. | 2024 | Metropolitan-scale heralded entanglement of solid-state qubits | Science Advances | 10, eadp6442 | net | V
faraon2011 | Faraon, A.; Barclay, P. E.; Santori, C.; Fu, K.-M. C.; Beausoleil, R. G. | 2011 | Resonant enhancement of the zero-phonon emission from a colour centre in a diamond cavity | Nature Photonics | 5, 301 | net | V
riedel2017 | Riedel, D.; Soellner, I.; Shields, B. J.; et al. | 2017 | Deterministic enhancement of coherent photon generation from a nitrogen-vacancy center in ultrapure diamond | Physical Review X | 7, 031040 | net | V
babinec2010 | Babinec, T. M.; Hausmann, B. J. M.; Khan, M.; et al. | 2010 | A diamond nanowire single-photon source | Nature Nanotechnology | 5, 195 | net | V
hadden2010 | Hadden, J. P.; Harrison, J. P.; Stanley-Clarke, A. C.; et al. | 2010 | Strongly enhanced photon collection from diamond defect centers under microfabricated integrated solid immersion lenses | Applied Physics Letters | 97, 241901 | net | V
burek2012 | Burek, M. J.; de Leon, N. P.; Shields, B. J.; et al. | 2012 | Free-standing mechanical and photonic nanostructures in single-crystal diamond | Nano Letters | 12, 6084 | net | V
hausmann2012 | Hausmann, B. J. M.; Shields, B.; Quan, Q.; et al. | 2012 | Integrated diamond networks for quantum nanophotonics | Nano Letters | 12, 1578 | net | V
aharonovich2011 | Aharonovich, I.; Greentree, A. D.; Prawer, S. | 2011 | Diamond photonics | Nature Photonics | 5, 397 | net | V
lenzini2018 | Lenzini, F.; Gruhler, N.; Walter, N.; Pernice, W. H. P. | 2018 | Diamond as a platform for integrated quantum photonics | Advanced Quantum Technologies | 1, 1800061 | net | V
mouradian2015 | Mouradian, S. L.; Schroeder, T.; Poitras, C. B.; et al. | 2015 | Scalable integration of long-lived quantum memories into a photonic circuit | Physical Review X | 5, 031009 | net | V
wan2020 | Wan, N. H.; Lu, T.-J.; Chen, K. C.; et al. | 2020 | Large-scale integration of artificial atoms in hybrid photonic circuits | Nature | 583, 226 | net | V
li2024 | Li, L.; De Santis, L.; Harris, I. B. W.; et al. | 2024 | Heterogeneous integration of spin-photon interfaces with a CMOS platform | Nature | 630, 70 | net,dev | V
golter2023 | Golter, D. A.; Clark, G.; El Dandachi, T.; et al. | 2023 | Selective and scalable control of spin quantum memories in a photonic circuit | Nano Letters | 23, 7852 | net | V
clark2024 | Clark, G.; Raniwala, H.; Koppa, M.; et al. | 2024 | Nanoelectromechanical control of spin-photon interfaces in a hybrid quantum system on chip | Nano Letters | 24, 1316 | net | V
sipahigil2016 | Sipahigil, A.; Evans, R. E.; Sukachev, D. D.; et al. | 2016 | An integrated diamond nanophotonics platform for quantum-optical networks | Science | 354, 847 | net | V
bhaskar2020 | Bhaskar, M. K.; Riedinger, R.; Machielse, B.; et al. | 2020 | Experimental demonstration of memory-enhanced quantum communication | Nature | 580, 60 | net | V
stas2022 | Stas, P.-J.; Huan, Y. Q.; Machielse, B.; et al. | 2022 | Robust multi-qubit quantum network node with integrated error detection | Science | 378, 557 | net | V
knaut2024 | Knaut, C. M.; Suleymanzade, A.; Wei, Y.-C.; et al. | 2024 | Entanglement of nanophotonic quantum memory nodes in a telecom network | Nature | 629, 573 | net | V
sukachev2017 | Sukachev, D. D.; Sipahigil, A.; Nguyen, C. T.; et al. | 2017 | Silicon-vacancy spin qubit in diamond: a quantum memory exceeding 10 ms with single-shot state readout | Physical Review Letters | 119, 223602 | net | V
hepp2014 | Hepp, C.; Mueller, T.; Waselowski, V.; et al. | 2014 | Electronic structure of the silicon vacancy color center in diamond | Physical Review Letters | 112, 036405 | net | V
rose2018 | Rose, B. C.; Huang, D.; Zhang, Z.-H.; et al. | 2018 | Observation of an environmentally insensitive solid-state spin defect in diamond | Science | 361, 60 | net | V
iwasaki2015 | Iwasaki, T.; Ishibashi, F.; Miyamoto, Y.; et al. | 2015 | Germanium-vacancy single color centers in diamond | Scientific Reports | 5, 12882 | net | V
iwasaki2017 | Iwasaki, T.; Miyamoto, Y.; Taniguchi, T.; et al. | 2017 | Tin-vacancy quantum emitters in diamond | Physical Review Letters | 119, 253601 | net | V
trusheim2020 | Trusheim, M. E.; Pingault, B.; Wan, N. H.; et al. | 2020 | Transform-limited photons from a coherent tin-vacancy spin in diamond | Physical Review Letters | 124, 023602 | net | V
rugar2021 | Rugar, A. E.; Aghaeimeibodi, S.; Riedel, D.; et al. | 2021 | Quantum photonic interface for tin-vacancy centers in diamond | Physical Review X | 11, 031021 | net | V
bradac2019 | Bradac, C.; Gao, W.; Forneris, J.; Trusheim, M. E.; Aharonovich, I. | 2019 | Quantum nanophotonics with group IV defects in diamond | Nature Communications | 10, 5625 | net | V
mizuochi2012 | Mizuochi, N.; Makino, T.; Kato, H.; et al. | 2012 | Electrically driven single-photon source at room temperature in diamond | Nature Photonics | 6, 299 | net,dev | V
lohrmann2011 | Lohrmann, A.; Pezzagna, S.; Dobrinets, I.; et al. | 2011 | Diamond based light-emitting diode for visible single-photon emission at room temperature | Applied Physics Letters | 99, 251106 | net,dev | V
kim2019cmos | Kim, D.; Ibrahim, M. I.; Foy, C.; Trusheim, M. E.; Han, R.; Englund, D. R. | 2019 | A CMOS-integrated quantum sensor based on nitrogen-vacancy centres | Nature Electronics | 2, 284 | dev,sens | V
ibrahim2021 | Ibrahim, M. I.; Foy, C.; Englund, D. R.; Han, R. | 2021 | High-scalability CMOS quantum magnetometer with spin-state excitation and detection of diamond color centers | IEEE Journal of Solid-State Circuits | 56, 1001 | dev,sens | V
